Genot,Temp,Family,meangr
X10899,35,O,3.71760305671163
X10899,37.5,O,2.63465163533098
X10899,40,O,1.52139039894582
X10900,20,O,2.390625
X10900,25,O,3.40386261261261
X10900,30,O,4.01619883040936
X10900,35,O,4.20365497076023
X10900,37.5,O,3.18126020041781
X10900,40,O,2.15738224637681
X10901,20,O,2.18229166666667
X10901,25,O,3.00054704992876
X10901,30,O,3.84611111111111
X10901,35,O,4.23262610927085
X10901,37.5,O,3.64083333333333
X10901,40,O,2.32053496868311
X10902,20,O,2.15964673913043
X10902,25,O,3.08364342603473
X10902,30,O,3.96833333333333
X10902,35,O,4.50219298245614
X10902,37.5,O,4.16358187134503
X10902,40,O,2.75832354093224
X10903,20,O,2.45082077930333
X10903,25,O,3.36030593093093
X10903,30,O,4.48793859649123
X10903,35,O,5.17708333333333
X10903,37.5,O,4.23111111111111
X10903,40,O,3.33042343974409
X10904,20,O,1.95833333333333
X10904,25,O,2.92232789855072
X10904,30,O,4.04944444444445
X10904,35,O,4.74031432748538
X10904,37.5,O,4.05464912280702
X10904,40,O,2.84125905797101
X10905,20,O,1.54205224245985
X10905,25,O,2.72634265870532
X10905,30,O,3.52
X10905,35,O,4.02991647241647
X10905,37.5,O,3.86944444444444
X10905,40,O,2.77779844450233
X10906,20,O,2.18840579710145
X10906,25,O,2.96428425708317
X10906,30,O,3.52027777777778
X10906,35,O,3.68945906432749
X10906,37.5,O,3.43388888888889
X10906,40,O,2.23278985507246
X10907,20,O,1.99003623188406
X10907,25,O,2.68942344588196
X10907,30,O,3.52444444444444
X10907,35,O,4.36826514129146
X10907,37.5,O,3.98805555555556
X10907,40,O,2.76787521216869
X10908,20,O,2.31357265446224
X10908,25,O,3.43841028528529
X10908,30,O,4.23611111111111
X10908,35,O,4.6875
X10908,37.5,O,4.2561769005848
X10908,40,O,3.08924908604256
X10909,20,O,2.20923913043478
X10909,25,O,3.17309905013709
X10909,30,O,4.24889619883041
X10909,35,O,5.1125
X10909,37.5,O,4.27758040935673
X10909,40,O,3.17663533098316
X10910,20,O,2.20636473429952
X10910,25,O,3.55063381316099
X10910,30,O,3.85444444444445
X10910,35,O,4.85040204678363
X10910,37.5,O,4.23465204678363
X10910,40,O,2.85134057971015
X10911,20,O,2.09954434733647
X10911,25,O,3.21803851818522
X10911,30,O,4.04927631578947
X10911,35,O,4.50938592657343
X10911,37.5,O,4.16433662280702
X10911,40,O,2.83775200416506
X10912,20,O,2.44595013348589
X10912,25,O,3.11176801801802
X10912,30,O,3.9269298245614
X10912,35,O,4.475
X10912,37.5,O,3.94932748538012
X10912,40,O,3.17054037733386
X10914,20,O,2.16191123188406
X10914,25,O,2.75052634155895
X10914,30,O,3.605
X10914,35,O,4.11515366212735
